,year,neighbourhood,population,% spaniards,% strangers,% w/ higher education,unemployed,total_surface(m2),housing(m2),parking(m2),commerce(m2),industry(m2),offices(m2),education(m2),healthcare(m2),hostelry(m2),sports(m2),religious(m2),entertainment(m2),other_uses(m2),avg_€/month,avg_€/m2,avg_housing(m2),new_contracts_1000_hab,expired_contracts_1000_hab,win_lost_rents_1000_hab,binary_rent_growth_1000_hab
71,2009,les Roquetes,16233.0,78.5,21.5,,,542205,407149,32684,32976,28756,1852,19214,1912,1519,15886.0,257,0.0,0,688.0,11.39,60.40386303775241,88.030555042198,88.4001724881414,-0.3696174459433905,0.0
72,2009,les Tres Torres,15832.0,90.4,9.6,,,1507900,930043,241288,48846,68871,70560,53859,51721,12899,14942.0,14812,59.0,0,1.397,14.58,0.0958161865569273,52.0464881253158,43.5826174835776,8.463870641738197,1.0
73,2010,Baró de Viver,2353.0,92.9,7.1,,,110971,80163,10269,11414,2004,707,5883,0,0,0.0,224,0.0,307,,,,46.3852904304221,34.2666109486001,12.118679481822,1.0
74,2010,Can Baró,9034.0,87.3,12.7,,,411234,317234,29295,22640,25386,3866,8613,1256,1778,1112.0,0,0.0,54,724.0,11.95,60.58577405857741,58.120407939467,63.1648207040246,-5.044412764557599,0.0
75,2010,Can Peguera,2250.0,95.6,4.4,,,56019,46336,3542,831,533,0,4403,0,0,0.0,374,0.0,0,,,,55.079006772009,35.2144469525959,19.864559819413103,1.0
76,2010,Canyelles,7322.0,94.9,5.1,,,304971,240025,12396,9562,22239,7034,7828,1768,628,3022.0,105,0.0,364,798.0,9.86,80.93306288032454,31.3269493844049,37.2093023255814,-5.882352941176496,0.0
77,2010,Ciutat Meridiana,11121.0,64.4,35.6,,,277044,233846,2009,10199,7813,2279,15732,456,2486,1232.0,992,0.0,0,626.0,9.82,63.74745417515275,106.243659503827,114.636170801439,-8.392511297611989,0.0
78,2010,Diagonal Mar i el Front Marítim del Poblenou,11730.0,84.4,15.6,,,1414498,520996,373897,131557,30810,150387,11267,36,108299,30963.0,0,56166.0,120,1.085,14.73,0.07365919891378139,88.9717634523175,48.0376487302433,40.934114722074206,1.0
79,2010,Horta,27825.0,90.8,9.2,,,1417279,899483,142962,94716,72354,13055,48264,34200,4807,83899.0,18159,5124.0,256,720.0,11.3,63.71681415929203,54.6070167855342,56.9123262012823,-2.3053094157480984,0.0
80,2010,Hostafrancs,16062.0,79.1,20.9,,,1017529,546991,113859,111629,93538,48058,23849,967,63513,11863.0,2478,784.0,0,792.0,12.43,63.716814159292035,75.4125101951189,81.4354727398206,-6.022962544701699,0.0
